n,Species,Metabolites,M,Compartment,Concentration,Citation
11,Mammal iBMK,L-Glycine,0.5,,3.71,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
12,Mammal iBMK,Glutathione,0.5,,3.09,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
13,Mammal iBMK,N-ACN-L-aspartic acid,0.5,,2.9,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
14,Mammal iBMK,Phenylpyruvic acid,0.5,,1.77,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
15,Mammal iBMK,L-Isoleucine,0.5,,1.76,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
16,Mammal iBMK,L-Leucine,0.5,,1.76,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
17,Mammal iBMK,UTP,0.5,,1.76,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
18,Mammal iBMK,diOH-ACN-P,0.5,Cytosol,1.63,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
19,Mammal iBMK,UDP-glucose,0.5,,1.53,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
20,Mammal iBMK,"Fructose 1,6-BP",0.5,,1.52,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
21,Mammal iBMK,L-Valine,0.5,,1.51,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
22,Mammal iBMK,(S)-Malic acid,0.5,,1.39,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
23,Mammal iBMK,L-Proline,0.5,,1.23,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
24,Mammal iBMK,L-Tyrosine,0.5,,0.938,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
25,Mammal iBMK,CTP,0.5,,0.897,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
26,Mammal iBMK,L-Phenylalanine,0.5,,0.84,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
27,Mammal iBMK,a-ketoglutarate,0.5,,0.797,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
28,Mammal iBMK,dihydro-orotate,0.5,,0.735,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
29,Mammal iBMK,GTP,0.5,,0.677,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
30,Mammal iBMK,Glucose 6-P,0.5,Cytosol,0.675,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
31,Mammal iBMK,L-Methionine,0.5,,0.639,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
32,Mammal iBMK,Citric acid,0.5,,0.584,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
33,Mammal iBMK,ADP,0.5,,0.569,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
34,Mammal iBMK,L-Lysine,0.5,,0.506,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
35,Mammal iBMK,NAD,0.5,,0.502,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
36,Mammal iBMK,Fumarate,0.5,Mitochondria,0.485,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
37,Mammal iBMK,3-P-serine,0.5,,0.44,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
38,Mammal iBMK,L-Histidine,0.5,,0.41,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
39,Mammal iBMK,Fumarate,0.5,,0.387,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
40,Mammal iBMK,3-P-D-glyceric acid,0.5,,0.375,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
41,Mammal iBMK,Succinic acid,0.5,,0.352,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
42,Mammal iBMK,L-Arginine,0.5,,0.255,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
43,Mammal iBMK,"2,3-P-glycerate",0.5,,0.237,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
44,Mammal iBMK,L-Asparagine,0.5,,0.215,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
45,Mammal iBMK,Gluconic acid,0.5,,0.211,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
46,Mammal iBMK,L-Tryptophan,0.5,,0.18,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
47,Mammal iBMK,glyceraldehyde-3-P,0.5,Cytosol,0.141,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
48,Mammal iBMK,UDP,0.5,,0.133,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
49,Mammal iBMK,UDP-glucuronate,0.5,,0.0975,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
50,Mammal iBMK,Fructose 6-P,0.5,Cytosol,0.0969,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
51,Mammal iBMK,L-Cysteine,0.5,,0.084,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
52,Mammal iBMK,Rib-5-P,0.5,,0.0783,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
53,Mammal iBMK,NADH,0.5,,0.075,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
54,Mammal iBMK,methylmalonic acid,0.5,,0.0726,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
55,Mammal iBMK,NADPH,0.5,,0.0654,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
56,Mammal iBMK,ac-serine,0.5,,0.0572,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
57,Mammal iBMK,AMP,0.5,,0.0423,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
58,Mammal iBMK,dCMP,0.5,,0.0371,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
59,Mammal iBMK,Isocitrate,0.5,Mitochondria,0.0321,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
60,Mammal iBMK,xylulose-5-phosphate,0.5,,0.0315,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
61,Mammal iBMK,GDP,0.5,,0.0302,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
62,Mammal iBMK,xylulose-5-phosphate,0.5,Cytosol,0.0299,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
63,Mammal iBMK,acetyl-CoA,0.5,,0.0288,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
64,Mammal iBMK,NADP,0.5,,0.0284,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
65,Mammal iBMK,Rib-5-P,0.5,Cytosol,0.0284,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
66,Mammal iBMK,GMP,0.5,,0.0181,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
67,Mammal iBMK,sedoheptulose-7-phosphate,0.5,Cytosol,0.0181,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
68,Mammal iBMK,Oxidized glutathione,0.5,,0.018,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
69,Mammal iBMK,dAMP,0.5,,0.0168,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
70,Mammal iBMK,6-P-gluconic acid,0.5,,0.0165,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
71,Mammal iBMK,sedoheptulose-7-phosphate,0.5,,0.0151,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
72,Mammal iBMK,UMP,0.5,,0.0145,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
73,Mammal iBMK,IMP,0.5,,0.0123,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
74,Mammal iBMK,CMP,0.5,,0.0118,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
75,Mammal iBMK,dTMP,0.5,,0.0118,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
76,Mammal iBMK,P-enolpyruvate,0.5,,0.0116,"Park, J. O.; Rubin, S. A.; Xu, Y.-F.; Amador-Noguez, D.; Fan, J.; Shlomi, T.; Rabinowitz, J. D. Metabolite Concentrations, Fluxes and Free Energies Imply Efficient Enzyme Usage. Nat Chem Biol 2016, 12 (7), 482�489. https://doi.org/10.1038/nchembio.2077."
