Metabolite,Equilibrium,Log_K,Temperature,Ionic strength,pH,X.charge,Citation,Notes
Aconitic acid,logK_HL/H.L,5.71,20,0.1,,-3,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
dATP,logK_HL/H.L,,,,,,,
Cytosine,logK_HL/H.L,,,,,,,
Shikimate,logK_HL/H.L,3.68,25,0.1,,-1,V3,
histidinol,logK_HL/H.L,,,,,,,
L-Tryptophan,logK_HL/H.L,9.33,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
dihydro-orotate,logK_HL/H.L,8.78,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Quinolinate,logK_HL/H.L,4.77,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Ornithine,logK_HL/H.L,10.55,,,,,V1,
dAMP,logK_HL/H.L,,,,,,,
AMPS,logK_HL/H.L,4.84,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
myo-inositol,logK_HL/H.L,,,,,,,
propionyl-CoA,logK_HL/H.L,,,,,,,
ADP-glucose,logK_HL/H.L,,,,,,,
Anthranilate,logK_HL/H.L,7.78,25,0.1,,-1,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
deoxyadenosine,logK_HL/H.L,,,,,,,
Cytidine,logK_HL/H.L,,,,,,,
NADP,logK_HL/H.L,,,,,,,
Guanosine,logK_HL/H.L,,,,,,,
Adenine,logK_HL/H.L,,,,,,,
deoxyguanosine,logK_HL/H.L,,,,,,,
Oxaloacetate,logK_HL/H.L,3.73,25,0.1,,-2,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Adenosine,logK_HL/H.L,,,,,,,
L-Glutamic acid,logK_H2L/H.HL,4.2,25,0.1,,,V1,
Glutathione,logK_H2L/H.HL,3.48,25,0.1,,,V5,
"Fructose 1,6-BP",logK_H2L/H.HL,5.86,25,0.1,,,V3,
ATP,logK_H2L/H.HL,5.86,25,0.1,,,V2,
UDP-GlcNAC,logK_H2L/H.HL,,,,,,,
UTP,logK_H2L/H.HL,5.86,25,0.1,,,,pKa2 from ATP
Glucose 6-P,logK_H2L/H.HL,1.46,25,0.1,,,V3,Use Glucose 1-P
GTP,logK_H2L/H.HL,3.3,25,0.1,,,V2,
dTTP,logK_H2L/H.HL,5.86,25,0.1,,,,pKa2 from ATP
L-Aspartic acid,logK_H2L/H.HL,3.7,25,0.1,,,V1,
L-Valine,logK_H2L/H.HL,2.2,25,0.1,,,"(1) Sovago, I.; Kiss, T.; Gergely, A. Critical Survey of the Stability Constants of Complexes of Aliphatic Amino Acids (Technical Report). Pure and Applied Chemistry 1993, 65 (5), 1029–1080. https://doi.org/10.1351/pac199365051029.",
L-Glutamine,logK_H2L/H.HL,2.17,25,0.1,,,V1,
6-P-gluconic acid,logK_H2L/H.HL,,,,,,,
Pyruvic acid,logK_H2L/H.HL,,,,,,,
diOH-ACN-P,logK_H2L/H.HL,1.35,25,0.1,,,V3,
CTP,logK_H2L/H.HL,3.85,25,0.1,,,V2,
L-Alanine,logK_H2L/H.HL,2.1,25,0.1,,,V2,
NAD,logK_H2L/H.HL,,,,,,,
Fructose 6-P,logK_H2L/H.HL,1.46,25,0.1,,,V3,Use Glucose 1-P
UDP-glucose,logK_H2L/H.HL,,,,,,,
Oxidized glutathione,logK_H2L/H.HL,,,,,,,
uridine,logK_H2L/H.HL,,,,,,,
Citric acid,logK_H2L/H.HL,4.35,25,0.1,,,V3,
UDP,logK_H2L/H.HL,4.6,25,0.1,,,,pKa2 from CTP
(S)-Malic acid,logK_H2L/H.HL,3.24,25,0.1,,,V3,
3-P-D-glyceric acid,logK_H2L/H.HL,,,,,,,
Glyceric acid,logK_H2L/H.HL,,,,,,,
CoA,logK_H2L/H.HL,,,,,,,
Citrulline,logK_H2L/H.HL,2.43,25,0.1,,,V1,
L-Threonine,logK_H2L/H.HL,2.21,25,0.1,,,V6,
Glucoseamine-6-P,logK_H2L/H.HL,,,,,,,
L-Serine,logK_H2L/H.HL,2.27,25,0.1,,,V1,
acetylphosphate,logK_H2L/H.HL,,,,,,,
Gluconolactone,logK_H2L/H.HL,,,,,,,
sedoheptulose-7-phosphate,logK_H2L/H.HL,,,,,,,
Rib-5-P,logK_H2L/H.HL,,,,,,,
GDP,logK_H2L/H.HL,2.9,25,0.1,,,V2,
acetyl-CoA,logK_H2L/H.HL,,,,,,,
carb-aspartate,logK_H2L/H.HL,,,,,,,
L-Arginine,logK_H2L/H.HL,9.01,25,0.1,,,V1,
Succinic acid,logK_H2L/H.HL,4,25,0.1,,,V3,
UDP-glucuronate,logK_H2L/H.HL,,,,,,,
ADP,logK_H2L/H.HL,3.96,25,0.1,,,V2,
L-Asparagine,logK_H2L/H.HL,2.14,25,0.1,,,V1,
a-ketoglutarate,logK_H2L/H.HL,1.85,25,0.1,,,V3,
L-Lysine,logK_H2L/H.HL,9.08,25,0.1,,,V1,
L-Proline,logK_H2L/H.HL,1.9,25,0.1,,,V1,
dTDP,logK_H2L/H.HL,,,,,,,
Homocysteine,logK_H2L/H.HL,,,,,,,
CMP,logK_H2L/H.HL,4.5,25,0.1,,,V2,
deoxyrib-5-P,logK_H2L/H.HL,,,,,,,
Fumarate,logK_H2L/H.HL,3.92,25,0.1,,,V3,
AMP,logK_H2L/H.HL,3.72,25,0.1,,,V2,
IMP,logK_H2L/H.HL,,,,,,,
glyceraldehyde-3-P,logK_H2L/H.HL,,,,,,,
pRpp,logK_H2L/H.HL,,,,,,,
succinyl-CoA,logK_H2L/H.HL,,,,,,,
ITP,logK_H2L/H.HL,,,,,,,
Guanine,logK_H2L/H.HL,,,,,,,
P-enolpyruvate,logK_H2L/H.HL,3.4,25,0.1,,,V3,
S-adenosyl-L-methionine,logK_H2L/H.HL,,,,,,,
xylulose-5-phosphate,logK_H2L/H.HL,,,,,,,
FAD,logK_H2L/H.HL,,,,,,,
L-Isoleucine,logK_H2L/H.HL,2.25,25,0.1,,,V1,
L-Leucine,logK_H2L/H.HL,2.35,25,0.1,,,V1,
L-Methionine,logK_H2L/H.HL,2.2,25,0.1,,,V1,
"2,3-dihydroxybenzoic acid",logK_H2L/H.HL,,,,,,,
NADPH,logK_H2L/H.HL,,,,,,,
ribulose-5-P,logK_H2L/H.HL,,,,,,,
D-dgluconic acid,logK_H2L/H.HL,,,,,,,
Gluconic acid,logK_H2L/H.HL,,,,,,,
Phenylpyruvic acid,logK_H2L/H.HL,,,,,,,
NADH,logK_H2L/H.HL,,,,,,,
"2,3-P-glycerate",logK_H2L/H.HL,3.4,25,0.1,,,V3,
"N-ACN-glucosamine-1,6-P",logK_H2L/H.HL,,,,,,,
L-Histidine,logK_H2L/H.HL,6.02,25,0.1,,,V1,
Flavin,logK_H2L/H.HL,,,,,,,
4-OH-benzoate,logK_H2L/H.HL,,,,,,,
dGMP,logK_H2L/H.HL,,,,,,,
erythrose-P,logK_H2L/H.HL,,,,,,,
Glycerol,logK_H2L/H.HL,,,,,,,
N-ACN-ornithine,logK_H2L/H.HL,,,,,,,
Isocitrate,logK_H2L/H.HL,4.28,25,0.1,,,V1,
malonyl-CoA,logK_H2L/H.HL,,,,,,,
cyclic-AMP,logK_H2L/H.HL,,,,,,,
dCTP,logK_H2L/H.HL,,,,,,,
L-Tyrosine,logK_H2L/H.HL,9.04,25,0.1,,,V1,
IDP,logK_H2L/H.HL,,,,,,,
GMP,logK_H2L/H.HL,2.4,25,0.1,,,V2,
acetoacetyl-CoA,logK_H2L/H.HL,,,,,,,
riboflavin,logK_H2L/H.HL,,,,,,,
L-Phenylalanine,logK_H2L/H.HL,,,,,,,
"1,3-P-glycerate",logK_H2L/H.HL,3.55,25,0.1,,,V3,
Aconitic acid,logK_H2L/H.HL,5.82,4.5,0.1,,,V3,
dATP,logK_H2L/H.HL,5.86,25,0.1,,,V2,pKa2 from ATP
Cytosine,logK_H2L/H.HL,,,,,,,
Shikimate,logK_H2L/H.HL,,,,,,,
histidinol,logK_H2L/H.HL,,,,,,,
L-Tryptophan,logK_H2L/H.HL,2.35,25,0.1,,,V1,
dihydro-orotate,logK_H2L/H.HL,,,,,,,
Quinolinate,logK_H2L/H.HL,2.75,25,0.1,,,V3,
Ornithine,logK_H2L/H.HL,8.74,25,0.1,,,V1,
dAMP,logK_H2L/H.HL,,,,,,,
AMPS,logK_H2L/H.HL,,,,,,,
myo-inositol,logK_H2L/H.HL,,,,,,,
propionyl-CoA,logK_H2L/H.HL,,,,,,,
ADP-glucose,logK_H2L/H.HL,,,,,,,
Anthranilate,logK_H2L/H.HL,,,,,,,
deoxyadenosine,logK_H2L/H.HL,,,,,,,
Cytidine,logK_H2L/H.HL,,,,,,,
NADP,logK_H2L/H.HL,,,,,,,
Guanosine,logK_H2L/H.HL,,,,,,,
Adenine,logK_H2L/H.HL,,,,,,,
deoxyguanosine,logK_H2L/H.HL,,,,,,,
Oxaloacetate,logK_H2L/H.HL,,,,,,,
Adenosine,logK_H2L/H.HL,,,,,,,
L-Glutamic acid,logK_H3L/H.H2L,2.18,25,0.1,,,V1,
Glutathione,logK_H3L/H.H2L,2.08,25,0.1,,,V5,
"Fructose 1,6-BP",logK_H3L/H.H2L,,,,,,,
ATP,logK_H3L/H.H2L,1.9,25,0.1,,,V3,
UDP-GlcNAC,logK_H3L/H.H2L,,,,,,,
UTP,logK_H3L/H.H2L,1.9,25,0.1,,,V2,From ATP
Glucose 6-P,logK_H3L/H.H2L,,,,,,,
GTP,logK_H3L/H.H2L,1.9,25,0.1,,,V2,From ATP
dTTP,logK_H3L/H.H2L,1.9,25,0.1,,,V2,From ATP
L-Aspartic acid,logK_H3L/H.H2L,1.93,25,0.1,,,V1,
L-Valine,logK_H3L/H.H2L,,,,,,,
L-Glutamine,logK_H3L/H.H2L,,,,,,,
6-P-gluconic acid,logK_H3L/H.H2L,,,,,,,
Pyruvic acid,logK_H3L/H.H2L,,,,,,,
diOH-ACN-P,logK_H3L/H.H2L,,,,,,,
CTP,logK_H3L/H.H2L,,,,,,,
L-Alanine,logK_H3L/H.H2L,,,,,,,
NAD,logK_H3L/H.H2L,,,,,,,
Fructose 6-P,logK_H3L/H.H2L,,,,,,,
UDP-glucose,logK_H3L/H.H2L,,,,,,,
Oxidized glutathione,logK_H3L/H.H2L,,,,,,,
uridine,logK_H3L/H.H2L,,,,,,,
Citric acid,logK_H3L/H.H2L,2.87,25,0.1,,,V3,
UDP,logK_H3L/H.H2L,,,,,,,
(S)-Malic acid,logK_H3L/H.H2L,,,,,,,
3-P-D-glyceric acid,logK_H3L/H.H2L,,,,,,,
Glyceric acid,logK_H3L/H.H2L,,,,,,,
CoA,logK_H3L/H.H2L,,,,,,,
Citrulline,logK_H3L/H.H2L,,,,,,,
L-Threonine,logK_H3L/H.H2L,,,,,,,
Glucoseamine-6-P,logK_H3L/H.H2L,,,,,,,
L-Serine,logK_H3L/H.H2L,,,,,,,
acetylphosphate,logK_H3L/H.H2L,,,,,,,
Gluconolactone,logK_H3L/H.H2L,,,,,,,
sedoheptulose-7-phosphate,logK_H3L/H.H2L,,,,,,,
Rib-5-P,logK_H3L/H.H2L,,,,,,,
GDP,logK_H3L/H.H2L,,,,,,,
acetyl-CoA,logK_H3L/H.H2L,,,,,,,
carb-aspartate,logK_H3L/H.H2L,,,,,,,
L-Arginine,logK_H3L/H.H2L,2.05,25,0.1,,,V1,
Succinic acid,logK_H3L/H.H2L,,,,,,,
UDP-glucuronate,logK_H3L/H.H2L,,,,,,,
ADP,logK_H3L/H.H2L,,,,,,,
L-Asparagine,logK_H3L/H.H2L,,,,,,,
a-ketoglutarate,logK_H3L/H.H2L,,,,,,,
L-Lysine,logK_H3L/H.H2L,2.04,25,0.1,,,V1,
L-Proline,logK_H3L/H.H2L,,,,,,,
dTDP,logK_H3L/H.H2L,,,,,,,
Homocysteine,logK_H3L/H.H2L,,,,,,,
CMP,logK_H3L/H.H2L,,,,,,,
deoxyrib-5-P,logK_H3L/H.H2L,,,,,,,
Fumarate,logK_H3L/H.H2L,,,,,,,
AMP,logK_H3L/H.H2L,,,,,,,
IMP,logK_H3L/H.H2L,,,,,,,
glyceraldehyde-3-P,logK_H3L/H.H2L,,,,,,,
pRpp,logK_H3L/H.H2L,,,,,,,
succinyl-CoA,logK_H3L/H.H2L,,,,,,,
ITP,logK_H3L/H.H2L,1.9,25,0.1,,,V2,From ATP
Guanine,logK_H3L/H.H2L,,,,,,,
P-enolpyruvate,logK_H3L/H.H2L,,,,,,,
S-adenosyl-L-methionine,logK_H3L/H.H2L,,,,,,,
xylulose-5-phosphate,logK_H3L/H.H2L,,,,,,,
FAD,logK_H3L/H.H2L,,,,,,,
L-Isoleucine,logK_H3L/H.H2L,,,,,,,
L-Leucine,logK_H3L/H.H2L,,,,,,,
L-Methionine,logK_H3L/H.H2L,,,,,,,
"2,3-dihydroxybenzoic acid",logK_H3L/H.H2L,,,,,,,
NADPH,logK_H3L/H.H2L,,,,,,,
ribulose-5-P,logK_H3L/H.H2L,,,,,,,
D-dgluconic acid,logK_H3L/H.H2L,,,,,,,
Phenylpyruvic acid,logK_H3L/H.H2L,,,,,,,
NADH,logK_H3L/H.H2L,,,,,,,
"2,3-P-glycerate",logK_H3L/H.H2L,,,,,,,
"N-ACN-glucosamine-1,6-P",logK_H3L/H.H2L,,,,,,,
L-Histidine,logK_H3L/H.H2L,1.7,25,0.1,,,V1,
Flavin,logK_H3L/H.H2L,,,,,,,
4-OH-benzoate,logK_H3L/H.H2L,,,,,,,
dGMP,logK_H3L/H.H2L,,,,,,,
erythrose-P,logK_H3L/H.H2L,,,,,,,
Glycerol,logK_H3L/H.H2L,,,,,,,
N-ACN-ornithine,logK_H3L/H.H2L,,,,,,,
Gluconic acid,logK_H3L/H.H2L,,,,,,,
Isocitrate,logK_H3L/H.H2L,3.02,25,0.1,,,V3,
malonyl-CoA,logK_H3L/H.H2L,,,,,,,
cyclic-AMP,logK_H3L/H.H2L,,,,,,,
dCTP,logK_H3L/H.H2L,1.9,25,0.1,,,V2,From ATP
L-Tyrosine,logK_H3L/H.H2L,2.17,25,0.1,,,V1,
IDP,logK_H3L/H.H2L,,,,,,,
GMP,logK_H3L/H.H2L,,,,,,,
acetoacetyl-CoA,logK_H3L/H.H2L,,,,,,,
riboflavin,logK_H3L/H.H2L,,,,,,,
L-Phenylalanine,logK_H3L/H.H2L,,,,,,,
"1,3-P-glycerate",logK_H3L/H.H2L,,,,,,,
Aconitic acid,logK_H3L/H.H2L,3.48,25,0.1,,,V3,
dATP,logK_H3L/H.H2L,,,,,,,
Cytosine,logK_H3L/H.H2L,,,,,,,
Shikimate,logK_H3L/H.H2L,,,,,,,
histidinol,logK_H3L/H.H2L,,,,,,,
L-Tryptophan,logK_H3L/H.H2L,,,,,,,
dihydro-orotate,logK_H3L/H.H2L,,,,,,,
Quinolinate,logK_H3L/H.H2L,,,,,,,
Ornithine,logK_H3L/H.H2L,2.11,25,0.1,,,V1,
dAMP,logK_H3L/H.H2L,,,,,,,
AMPS,logK_H3L/H.H2L,,,,,,,
myo-inositol,logK_H3L/H.H2L,,,,,,,
propionyl-CoA,logK_H3L/H.H2L,,,,,,,
ADP-glucose,logK_H3L/H.H2L,,,,,,,
Anthranilate,logK_H3L/H.H2L,,,,,,,
deoxyadenosine,logK_H3L/H.H2L,,,,,,,
Cytidine,logK_H3L/H.H2L,,,,,,,
NADP,logK_H3L/H.H2L,,,,,,,
Guanosine,logK_H3L/H.H2L,,,,,,,
Adenine,logK_H3L/H.H2L,,,,,,,
deoxyguanosine,logK_H3L/H.H2L,,,,,,,
Oxaloacetate,logK_H3L/H.H2L,,,,,,,
Adenosine,logK_H3L/H.H2L,,,,,,,
L-Glutamic acid,logK_ML/M.L,1.9,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Glutathione,logK_ML/M.L,3.8,37,0.15,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
"Fructose 1,6-BP",logK_ML/M.L,2.37,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
ATP,logK_ML/M.L,4.3,25,0.1,,,V2,
UDP-GlcNAC,logK_ML/M.L,,,,,,,
UTP,logK_ML/M.L,4.08,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
Glucose 6-P,logK_ML/M.L,2.47,25,0.1,,,V3,Use Glucose 1-P
GTP,logK_ML/M.L,4.13,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
dTTP,logK_ML/M.L,4.1,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Aspartic acid,logK_ML/M.L,2.4,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Valine,logK_ML/M.L,1.56,25,0.15,,,"(1) Sovago, I.; Kiss, T.; Gergely, A. Critical Survey of the Stability Constants of Complexes of Aliphatic Amino Acids (Technical Report). Pure and Applied Chemistry 1993, 65 (5), 1029–1080. https://doi.org/10.1351/pac199365051029.",
L-Glutamine,logK_ML/M.L,0.18,25,0.16,,,"Pure & Appl. Chem., Vol. 67, No. 7, pp. 1117-1240, 1995",Use Ca2+
6-P-gluconic acid,logK_ML/M.L,,,,,,,
Pyruvic acid,logK_ML/M.L,1.1,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
diOH-ACN-P,logK_ML/M.L,,,,,,,
CTP,logK_ML/M.L,4.05,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
L-Alanine,logK_ML/M.L,1.96,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
NAD,logK_ML/M.L,,,,,,,
Fructose 6-P,logK_ML/M.L,2.47,25,0,,,V3,Use Glucose 1-P
UDP-glucose,logK_ML/M.L,,,,,,,
Oxidized glutathione,logK_ML/M.L,,,,,,,
uridine,logK_ML/M.L,,,,,,,
Citric acid,logK_ML/M.L,3.43,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
UDP,logK_ML/M.L,3.19,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
(S)-Malic acid,logK_ML/M.L,1.71,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
3-P-D-glyceric acid,logK_ML/M.L,2.45,25,0.1,,,"(1) sherena.johnson@nist.gov. NIST46 https://www.nist.gov/srd/nist46 (accessed May 25, 2021).",
