Sample description: RNA3
0.0845144 0.310745 0.0221769
0.0853255 0.281733 0.0228535
0.0861366 0.30164 0.0220736
0.0869476 0.307674 0.0223684
0.0877587 0.239527 0.0218958
0.0885698 0.280403 0.0222826
0.0893809 0.25074 0.0226839
0.090192 0.258136 0.0215579
0.0910031 0.242429 0.0227478
0.0918142 0.277723 0.0223283
0.0926253 0.212441 0.0212816
0.0934363 0.205024 0.0218383
0.0942474 0.22242 0.0221488
0.0950585 0.244461 0.0210368
0.0958696 0.244878 0.0212327
0.0966807 0.215767 0.0209458
0.0974918 0.223283 0.0218023
0.0983029 0.231982 0.0205693
0.099114 0.200152 0.0204823
0.0999251 0.247715 0.0198455
0.100736 0.206976 0.0208774
0.101547 0.207836 0.0210189
0.102358 0.160414 0.020155
0.103169 0.197226 0.0207085
0.10398 0.163263 0.020975
0.104792 0.172645 0.0199277
0.105603 0.185726 0.019905
0.106414 0.18099 0.0201418
0.107225 0.179306 0.0194326
0.108036 0.159166 0.0206363
0.108847 0.165418 0.020079
0.109658 0.218959 0.020028
0.110469 0.176497 0.0192724
0.11128 0.165338 0.0193651
0.112091 0.159511 0.0186781
0.112902 0.155652 0.0189301
0.113714 0.129139 0.0192201
0.114525 0.140032 0.0194586
0.115336 0.146179 0.0194712
0.116147 0.151832 0.0191706
0.116958 0.151557 0.0186839
0.117769 0.144423 0.0188003
0.11858 0.135201 0.0188272
0.119391 0.119438 0.0184874
0.120202 0.0831474 0.0186473
0.121013 0.125502 0.018118
0.121824 0.112251 0.0189141
0.122636 0.135651 0.0182412
0.123447 0.157394 0.0180462
0.124258 0.10774 0.0188376
0.125069 0.114983 0.0186832
0.12588 0.136852 0.018439
0.126691 0.111857 0.0182171
0.127502 0.109443 0.0184858
0.128313 0.110643 0.0180827
0.129124 0.103924 0.0182422
0.129935 0.0984421 0.0176117
0.130746 0.098791 0.0174297
0.131557 0.138823 0.0177113
0.132369 0.0872198 0.0181662
0.13318 0.104244 0.0172712
0.133991 0.120799 0.0183704
0.134802 0.122096 0.0179996
0.135613 0.102959 0.0179094
0.136424 0.11178 0.0175687
0.137235 0.106859 0.0169007
0.138046 0.0843549 0.0175237
0.138857 0.10695 0.0172176
0.139668 0.0903754 0.0171107
0.140479 0.0815662 0.0170161
0.141291 0.0960914 0.0172472
0.142102 0.0922204 0.0167396
0.142913 0.09887 0.0165364
0.143724 0.0664214 0.0165999
0.144535 0.111999 0.0170128
0.145346 0.0559633 0.0167069
0.146157 0.0442571 0.0172789
0.146968 0.107014 0.0162491
0.147779 0.099774 0.0165274
0.14859 0.0639385 0.0169194
0.149401 0.0555237 0.0163421
0.150213 0.0766249 0.016543
0.151024 0.0802807 0.0166222
0.151835 0.0596933 0.0160673
0.152646 0.0679231 0.0163861
0.153457 0.0554425 0.0164867
0.154268 0.0367919 0.0162372
0.155079 0.0660306 0.0167488
0.15589 0.0430088 0.0162731
0.156701 0.0592352 0.016638
0.157512 0.0624431 0.0161356
0.158323 0.0483659 0.0166698
0.159135 0.0615778 0.0168866
0.159946 0.0654338 0.0163607
0.160757 0.069702 0.016759
0.161568 0.0562484 0.016236
0.162379 0.056792 0.0164327
0.16319 0.0633722 0.0167418
0.164001 0.0925456 0.0168138
0.164812 0.0463 0.016836
0.165623 0.0519701 0.016627
0.166434 0.0667067 0.0174497
0.167245 0.0467119 0.0168196
0.168056 0.0251943 0.0169998
0.168868 0.0693438 0.0171816
0.169679 0.0666733 0.0164126
0.17049 0.0438055 0.0173034
0.171301 0.0392447 0.0173465
0.172112 0.038075 0.0178604
0.172923 0.0566033 0.017218
0.173734 0.0343799 0.0172162
0.174545 0.0461932 0.0182392
0.175356 0.0238507 0.0173714
0.176167 0.0361253 0.0179886
0.176978 0.0382104 0.0175473
0.17779 0.0211284 0.0176883
0.178601 0.029245 0.0178592
0.179412 0.040768 0.0174513
0.180223 0.0309616 0.017698
0.181034 0.0355659 0.0181825
0.181845 0.042071 0.017664
0.182656 0.0693899 0.0179003
0.183467 0.0470707 0.0177717
0.184278 0.0268727 0.0178287
0.185089 0.0275215 0.0177629
0.1859 0.0460484 0.0184882
0.186712 0.0337101 0.0183973
0.187523 0.0292764 0.0180744
0.188334 0.0174415 0.0180134
0.189145 0.0204684 0.0184665
0.189956 0.0220875 0.0178688
0.190767 0.0101416 0.0185648
0.191578 0.0437464 0.0180644
0.192389 0.0266547 0.0175187
0.1932 0.0388436 0.0182643
0.194011 0.00223688 0.0177654
0.194822 0.0273278 0.0186973
0.195633 0.0141977 0.0184194
0.196445 0.0373995 0.01743
0.197256 0.0200222 0.0180268
0.198067 0.0418862 0.0174927
0.198878 0.018422 0.0185813
0.199689 0.0303286 0.0182825
0.2005 0.0190397 0.0178681
0.201311 0.0211135 0.0184833
0.202122 0.0125123 0.0185814
0.202933 0.00374849 0.0183868
0.203744 0.0160464 0.0179532
0.204555 0.0514074 0.0181597
0.205367 0.0168588 0.0187583
0.206178 0.00388828 0.0182793
0.206989 0.0288955 0.0188148
0.2078 0.0168052 0.0189137
0.208611 0.00656101 0.0186557
0.209422 0.0279269 0.0189919
0.210233 0.0393616 0.0184804
0.211044 0.0244534 0.0182756
0.211855 0.0474727 0.0183862
0.212666 0.0254841 0.018296
0.213477 0.0204573 0.0189776
0.214289 0.0159834 0.0190594
0.2151 0.034404 0.0185509
0.215911 0.0064664 0.0188741
0.216722 0.0136688 0.0184091
0.217533 -0.00253189 0.0195167
0.218344 -0.0274086 0.0181893
0.219155 0.0104916 0.0188778
0.219966 0.00956047 0.0182692
0.220777 0.00568081 0.0191092
0.221588 0.00418545 0.0183776
0.222399 0.0135257 0.0177755
0.22321 0.0303066 0.0181042
0.224022 0.0180769 0.0184848
0.224833 0.020594 0.0185523
0.225644 -0.0107664 0.0187066
0.226455 0.0153851 0.019051
0.227266 0.00246697 0.0188542
0.228077 0.0381237 0.0185868
0.228888 0.0161571 0.0184155
0.229699 0.00046689 0.018171
0.23051 0.0199337 0.0180965
0.231321 -0.0291221 0.0191562
0.232132 -0.0171828 0.0187516
0.232944 -0.00445126 0.0187589
0.233755 -0.0151289 0.0186636
0.234566 0.0269031 0.0191323
0.235377 0.0260017 0.0187906
0.236188 0.0471462 0.018875
0.236999 -0.0148698 0.0188801
0.23781 0.0217489 0.0184679
0.238621 0.0108541 0.0190225
0.239432 0.040102 0.0184306
0.240243 0.0059041 0.018487
0.241054 0.0502058 0.0189196
0.241866 0.00771819 0.0186132
0.242677 0.00157588 0.018928
0.243488 0.0717656 0.0187217
0.244299 0.0484726 0.0181658
0.24511 0.0217938 0.0181357
0.245921 0.02424 0.0189264
0.246732 0.0127989 0.0185965
0.247543 0.0248347 0.0183282
0.248354 0.0144069 0.0182301
0.249165 -0.0101349 0.0193745
0.249976 0.0592286 0.0183511
0.250787 0.0123394 0.0189126
0.251599 0.0330142 0.0183968
0.25241 0.0118172 0.0190989
0.253221 0.021794 0.0191657
0.254032 0.0133158 0.0187713
0.254843 0.0125047 0.0190632
0.255654 0.0196806 0.0185554
0.256465 0.0166322 0.0189357
0.257276 0.0131662 0.0191568
0.258087 0.00931565 0.0187682
0.258898 0.00863783 0.0188584
0.259709 0.0155659 0.0192876
0.260521 0.0140882 0.0187628
0.261332 -0.0087954 0.0185596
0.262143 0.0357423 0.0192444
0.262954 0.0139945 0.0184692
0.263765 0.00909759 0.0187887
0.264576 -0.00503602 0.0189258
0.265387 0.0289133 0.0185397
0.266198 -0.0165962 0.01908
0.267009 0.00103925 0.0193444
0.26782 0.0207244 0.0194768
0.268631 -0.00648169 0.0188386
0.269443 -0.00777821 0.0192974
0.270254 0.0357562 0.0189755
0.271065 0.00584247 0.0184713
0.271876 -0.00779261 0.0192712
0.272687 0.0267088 0.0193966
0.273498 0.0222673 0.0190563
0.274309 0.0257062 0.019151
0.27512 0.00158686 0.018595
0.275931 0.0387483 0.0187258
0.276742 -0.0309353 0.0193053
0.277553 -0.00612898 0.0199493
0.278364 -0.00102993 0.0190562
0.279176 0.00322627 0.019078
0.279987 -0.00466428 0.0186287
0.280798 0.0494508 0.0196975
0.281609 0.0036654 0.0196857
0.28242 -0.00423275 0.0186376
0.283231 -0.000723583 0.0189435
0.284042 0.00656337 0.0190115
0.284853 -0.0076259 0.0197042
0.285664 0.0166817 0.0197215
0.286475 0.0467048 0.0187378
0.287286 0.0185396 0.0193702
0.288098 0.00758458 0.0198227
0.288909 0.00160195 0.0192769
0.28972 -0.0150736 0.0188057
0.290531 -0.0144381 0.0190093
0.291342 -0.0131133 0.0192496
0.292153 0.013196 0.019561
0.292964 0.0219683 0.0192512
0.293775 -0.0213525 0.019561
0.294586 -0.00783215 0.0197674
0.295397 0.00771283 0.0189955
0.296208 0.0147534 0.0194757
0.29702 0.0148938 0.019543
0.297831 -0.0182715 0.018325
0.298642 0.0255943 0.0191078
0.299453 0.0148494 0.0193352
0.300264 -0.00336704 0.0190212
0.301075 -0.00771567 0.0180516
0.301886 0.0155349 0.0182602
0.302697 0.00985189 0.018654
0.303508 -0.0190717 0.0187642
0.304319 0.0122425 0.0180792
0.30513 -0.0102279 0.0190953
0.305941 -0.0142898 0.0192469
0.306753 0.0304734 0.0189409
0.307564 0.0367046 0.0186747
0.308375 0.00168325 0.0191656
0.309186 0.00733489 0.018414
0.309997 0.0263018 0.0188496
0.310808 0.0449849 0.0191493
0.311619 0.0333194 0.0193475
0.31243 0.00874469 0.0188777
0.313241 0.0285252 0.0189968
0.314052 0.0148438 0.0192119
0.314863 -0.0164021 0.0192707
0.315675 0.0268496 0.0190262
0.316486 0.0407981 0.0185765
0.317297 -0.00800493 0.0191313
0.318108 0.0119167 0.0194062
0.318919 0.0398834 0.0189107
0.31973 -0.00531766 0.0190453
0.320541 0.0175973 0.0191414
0.321352 0.0304827 0.0194085
0.322163 0.00671695 0.0194412
0.322974 -0.0327312 0.0192874
0.323785 0.0211589 0.0190116
0.324597 -0.0042848 0.0185942
0.325408 -0.0037901 0.0193101
0.326219 0.0397169 0.0190322
0.32703 0.0191196 0.0190455
0.327841 0.00779496 0.0188667
0.328652 0.021152 0.0185435
0.329463 0.00240251 0.0188914
0.330274 0.00359274 0.0185443
0.331085 -0.0259685 0.0196011
0.331896 -0.0025291 0.019274
0.332707 0.0293016 0.0185128
0.333518 0.0182733 0.0186201
0.33433 0.0107341 0.0188216
0.335141 -0.008394 0.019138
0.335952 0.0133164 0.0191355
0.336763 -0.00976915 0.0189246
0.337574 0.00880314 0.0190035
0.338385 -0.011528 0.0185707
0.339196 -0.0182466 0.0191342
0.340007 0.00916805 0.0188772
0.340818 0.0240432 0.0189693
0.341629 -0.0359611 0.0196474
0.34244 0.00879354 0.0188388
0.343252 -0.0191177 0.0197539
0.344063 -0.00716551 0.0195586
0.344874 0.00098789 0.0187877
0.345685 0.0107365 0.0189039
0.346496 -0.00234362 0.0188231
0.347307 0.0101467 0.0194613
0.348118 0.000866874 0.0191389
0.348929 0.0144632 0.019708
0.34974 0.0305935 0.0188573
0.350551 0.0195956 0.0189845
0.351362 -0.0142771 0.0194556
0.352174 0.0037572 0.0191003
0.352985 0.0315585 0.0195212
0.353796 0.0226668 0.0189747
0.354607 0.0161806 0.0193221
0.355418 0.00554076 0.0189739
0.356229 0.0320449 0.0190637
0.35704 0.0206742 0.0191594
0.357851 0.0433656 0.0191013
0.358662 0.0189193 0.0188827
0.359473 0.0456643 0.0190751
0.360284 -0.015836 0.0196661
0.361095 0.0055198 0.0189016
0.361907 -0.0100801 0.0193603
0.362718 0.0215776 0.0191838
0.363529 0.0341903 0.0194946
0.36434 -0.00427573 0.0187855
0.365151 0.00840813 0.0191859
0.365962 -0.0103707 0.0192583
0.366773 0.000758899 0.0185999
0.367584 0.0212536 0.0196702
0.368395 0.0467195 0.0193311
0.369206 -0.0292518 0.0199831
0.370017 0.0168053 0.0188039
0.370829 -0.018272 0.0195149
0.37164 0.0285869 0.0190662
0.372451 0.0628259 0.0185597
0.373262 0.0159586 0.0200066
0.374073 -0.0094646 0.0192463
0.374884 0.00911515 0.0189615
0.375695 -0.0330367 0.0196237
0.376506 0.00359855 0.0199828
0.377317 0.0199756 0.019438
0.378128 0.00440106 0.0187342
0.378939 0.0271764 0.0193054
0.379751 0.0401836 0.0195807
0.380562 0.0198397 0.0183676
0.381373 0.0377162 0.0177619
0.382184 -0.0322648 0.0184356
0.382995 0.0163013 0.0190495
0.383806 0.00842016 0.0190101
0.384617 0.0098113 0.0190833
0.385428 -0.00323263 0.0196141
0.386239 0.0440646 0.0191935
0.38705 0.00502212 0.0190951
0.387861 0.00323589 0.019174
0.388672 -0.00336282 0.0187059
0.389484 -0.00551792 0.018669
0.390295 0.016473 0.0191075
0.391106 0.0236525 0.0193998
0.391917 0.0180437 0.0187423
0.392728 0.0199359 0.018984
0.393539 -0.00657948 0.0191173
0.39435 0.010642 0.0185149
0.395161 0.022826 0.0188689
0.395972 -0.0218878 0.0192794
0.396783 0.0112933 0.0190804
0.397594 -0.016932 0.0187232
0.398406 0.00393809 0.0189422
0.399217 -0.0108464 0.0183516
0.400028 0.0347878 0.018931
0.400839 0.00221599 0.0190046
0.40165 0.0116683 0.0198829
0.402461 -0.0388609 0.0188573
0.403272 0.00686994 0.0192407
0.404083 -0.000849125 0.0190927
0.404894 -0.000486656 0.018991
0.405705 -0.000577543 0.0187789
0.406516 0.00416114 0.0190899
0.407328 0.00352145 0.0184828
0.408139 0.0161103 0.0184457
0.40895 -0.00268116 0.018768
0.409761 0.00415413 0.0188121
0.410572 0.00355725 0.019149
0.411383 0.0081066 0.0193598
0.412194 0.00647526 0.0189745
0.413005 0.0190797 0.0189469
0.413816 -0.0166617 0.0189522
0.414627 0.0260915 0.0187475
0.415438 0.0187468 0.01975
0.41625 0.0141463 0.0192512
0.417061 -0.00933728 0.019051
0.417872 0.0329436 0.0197829
0.418683 0.0179366 0.0192612
0.419494 -0.0177466 0.0193965
0.420305 0.0106159 0.0192596
0.421116 -0.0298233 0.0194241
0.421927 -0.00789919 0.0194334
0.422738 0.0308602 0.0192465
0.423549 0.0295431 0.0188673
0.42436 0.0223384 0.0188783
0.425171 -0.00415892 0.0194992
0.425983 -0.0108122 0.0188428
0.426794 -0.0139745 0.0196087
0.427605 0.0045325 0.019368
0.428416 0.0142551 0.0192051
0.429227 0.0134333 0.0192826
0.430038 -0.00719352 0.0196162
0.430849 -0.0185571 0.0192021
0.43166 -0.00696935 0.0189378
0.432471 0.00437455 0.0196959
0.433282 -0.00891505 0.0191299
0.434093 0.0241973 0.0193968
0.434905 0.00587696 0.0190531
0.435716 0.01184 0.0189717
0.436527 0.0195436 0.0194041
0.437338 -0.0137081 0.019398
0.438149 0.0112771 0.0195184
0.43896 -0.013678 0.0192207
0.439771 0.00774048 0.0191404
0.440582 0.00978095 0.0194794
0.441393 0.00153956 0.0199422
0.442204 0.0153588 0.0191369
0.443015 -0.00392535 0.0195599
0.443827 0.0427009 0.0188424
0.444638 -0.0171622 0.0195982
0.445449 -0.00273232 0.0189532
0.44626 -0.0255699 0.0197488
0.447071 0.00116911 0.0202416
0.447882 0.0140537 0.0196873
0.448693 0.012315 0.0191194
0.449504 0.0161162 0.0189824
0.450315 -0.0195883 0.0190882
0.451126 -0.0117843 0.0191197
0.451937 -0.0304805 0.0196101
0.452748 0.0307573 0.0195608
0.45356 0.0148273 0.0195621
0.454371 0.0179867 0.0190599
0.455182 -0.0448035 0.0195094
0.455993 -0.0476733 0.0190856
0.456804 -0.0186803 0.0198716
0.457615 0.0270422 0.0192558
0.458426 -0.00904565 0.0185366
0.459237 0.00673743 0.0180868
0.460048 0.037987 0.0176476
0.460859 0.00138663 0.0189092
0.46167 0.0299393 0.019062
0.462482 0.00262614 0.0187622
0.463293 0.0134199 0.0184584
0.464104 0.0311755 0.0188399
0.464915 0.0205841 0.0193402
0.465726 0.00407757 0.0190934
0.466537 0.0308571 0.0190229
0.467348 0.0153737 0.018877
0.468159 -0.013055 0.0184313
0.46897 -0.00660111 0.0195893
0.469781 0.0124986 0.0183335
0.470592 0.0102595 0.0184037
0.471404 0.0100044 0.0186102
0.472215 0.017917 0.0188664
0.473026 0.0285128 0.0187899
0.473837 0.034159 0.018823
0.474648 0.0357014 0.0187827
0.475459 0.0109459 0.0187828
0.47627 0.0229024 0.0192179
0.477081 0.0252729 0.0189853
0.477892 0.0574149 0.0189837
0.478703 0.00815615 0.0191565
0.479514 0.00134694 0.0191663
0.480325 0.00138217 0.0190891
0.481137 -0.00821476 0.0190906
0.481948 0.0256451 0.0183622
0.482759 -0.0188609 0.0194072
0.48357 -0.041609 0.0191648
0.484381 0.0228189 0.0186023
0.485192 0.0271761 0.0186414
0.486003 -0.0188277 0.0190156
0.486814 0.0125329 0.0194578
0.487625 0.0185532 0.0192677
0.488436 0.00181067 0.0194182
0.489247 0.00349473 0.0189174
0.490059 0.0268461 0.0194128
0.49087 0.0131673 0.0191922
0.491681 0.0121007 0.0191399
0.492492 0.00852429 0.0190469
0.493303 0.032527 0.0199155
0.494114 0.0287683 0.0188325
0.494925 -0.00576776 0.0196144
0.495736 0.00449996 0.0195401
0.496547 -0.0276219 0.0193712
0.497358 0.0133677 0.0190722
0.498169 0.0219534 0.0192782
0.498981 -0.00362719 0.0186184
0.499792 0.00769928 0.0191241
0.500603 0.02996 0.0191989
0.501414 0.0105079 0.0194436
0.502225 0.00615758 0.0196298
0.503036 0.0179414 0.0191719
0.503847 -0.0091661 0.0187675
0.504658 0.00879813 0.0188187
0.505469 0.0205957 0.0198169
0.50628 -0.000117278 0.0188925
0.507091 0.0372551 0.0195468
0.507902 0.0380563 0.0195249
0.508714 0.010562 0.0193632
0.509525 0.00798654 0.0195551
0.510336 -0.0419386 0.0190653
0.511147 0.00804315 0.0196897
0.511958 -0.0052416 0.0199267
0.512769 0.00319385 0.0190936
0.51358 -0.01152 0.0190026
0.514391 -0.00805926 0.0185715
0.515202 0.0220915 0.0194564
0.516013 0.00828335 0.0187392
0.516824 -0.0219042 0.0189629
0.517636 -0.000111342 0.0197805
0.518447 0.0590014 0.019468
0.519258 -0.0205382 0.0188705
0.520069 0.0415853 0.018959
0.52088 0.0364213 0.0191534
0.521691 0.00314299 0.019863
0.522502 0.0329577 0.0191978
0.523313 0.0316931 0.0191163
0.524124 0.00631862 0.0197001
0.524935 0.00864787 0.0196822
0.525746 -0.0331752 0.0186731
0.526558 -0.0214592 0.0188454
0.527369 -0.00683007 0.0194189
0.52818 0.0314585 0.0194534
0.528991 0.0122925 0.0198199
0.529802 -0.0499629 0.0194682
0.530613 0.0323411 0.0190396
0.531424 -0.0200414 0.0195035
0.532235 -0.00825361 0.0188253
0.533046 -0.00973088 0.0192733
0.533857 -0.00906549 0.0194269
0.534668 0.0274804 0.0192487
0.535479 -0.0129369 0.0195866
0.536291 0.0383476 0.0192899
0.537102 -0.0154206 0.0183959
0.537913 0.0212012 0.0175707
0.538724 -0.0217727 0.0185912
0.539535 -0.0129659 0.0190643
0.540346 0.00411605 0.018238
0.541157 -0.0436174 0.0186109
0.541968 0.00772923 0.0197348
0.542779 0.0211906 0.0187053
0.54359 0.0250323 0.0190922
0.544401 0.0102692 0.0189035
0.545213 0.011863 0.0189856
0.546024 0.00618708 0.0188817
0.546835 0.0358113 0.019064
0.547646 0.0114355 0.0191559
0.548457 0.00352351 0.0194359
0.549268 0.0264527 0.0194749
0.550079 0.032346 0.0187189
0.55089 0.00522322 0.019175
0.551701 -0.00092983 0.0192285
0.552512 0.0402041 0.0198991
0.553323 0.0269897 0.0191896
0.554135 0.00331837 0.0186682
0.554946 0.0368805 0.0195756
0.555757 0.0117301 0.0193923
0.556568 -0.00278018 0.0198004
0.557379 -0.000739509 0.0196446
0.55819 0.00963023 0.0192724
0.559001 0.00080311 0.019668
0.559812 0.0208674 0.019736
0.560623 0.00420709 0.0191026
0.561434 0.00366943 0.0195753
0.562245 -0.0306591 0.0198803
0.563056 -0.0133938 0.0194156
0.563868 0.0114692 0.0192954
0.564679 0.0179545 0.0202062
0.56549 0.00950851 0.0195631
0.566301 -0.00070206 0.0201229
0.567112 0.00797345 0.0194853
0.567923 -0.0382941 0.0199217
0.568734 0.00528766 0.0196462
0.569545 -0.0102779 0.0197524
0.570356 0.0218004 0.0194634
0.571167 0.00572957 0.0199694
0.571978 0.0127157 0.0199657
0.57279 0.0177205 0.0198885
0.573601 -0.0162148 0.0195162
0.574412 -0.00187282 0.0202192
0.575223 0.035427 0.0195466
0.576034 0.0475637 0.0197388
0.576845 -0.0134334 0.0202111
0.577656 -0.00747596 0.0196437
0.578467 0.000871338 0.0188988
0.579278 0.0531711 0.0203155
0.580089 0.0291593 0.0200269
0.5809 -0.000549557 0.0194148
0.581712 0.0128213 0.0201064
0.582523 0.0329701 0.0195482
0.583334 0.00994871 0.0196495
0.584145 0.0115246 0.0201343
0.584956 0.00702628 0.019585
0.585767 -0.00892981 0.0201898
0.586578 -0.00955162 0.0199446
0.587389 -0.011792 0.0205777
0.5882 -0.019189 0.0199164
0.589011 0.0206322 0.0202125
0.589822 0.00281814 0.0203385
0.590633 0.0303301 0.0198716
0.591445 -0.0162958 0.0197655
0.592256 -0.00335611 0.0199373
0.593067 0.0119957 0.019959
0.593878 0.0391052 0.0192799
0.594689 0.0167362 0.0200805
0.5955 -0.0493541 0.0201534
0.596311 0.0467572 0.0206741
0.597122 0.0166216 0.0196444
0.597933 -0.0176803 0.0203101
0.598744 0.00344817 0.0196166
0.599555 0.00360373 0.0203624
0.600367 0.0275908 0.0197913
0.601178 -0.0041795 0.020344
0.601989 0.0206292 0.0195051
0.6028 0.0204845 0.0200357
0.603611 -0.0249519 0.0198167
0.604422 0.0140215 0.0204284
0.605233 0.0142958 0.0200427
0.606044 -0.0234676 0.0219055
0.606855 0.000516849 0.0205681
0.607666 0.00891854 0.0202494
0.608477 0.0429826 0.0207239
0.609289 -0.0014168 0.0200942
0.6101 0.010047 0.0199034
0.610911 -0.0223453 0.0200782
0.611722 0.0364656 0.0205723
0.612533 -0.012612 0.0209477
0.613344 0.0249341 0.0202861
0.614155 0.017077 0.0199182
==============================================
Sample description:                     RNA3
Sample code:                            Nov22
Sample concentration:                   0.1
Beam center X [px]:                     754.063
Beam center Y [px]:                     199.402
Exposure time [s]:                      3600
Sample temperature [deg C]:             3.99
