Metabolite,Equilibrium,Log_K,Temperature,Ionic.strength,pH,X.charge,Citation,Notes
CTP,logK_ML/M.L,4.05,25,0.1,NA,NA,[9],
dATP,logK_H2L/H.HL,5.86,25,0.1,NA,NA,[5],pKa2 from ATP
dCTP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[5],From ATP
dihydro-orotate,logK_HL/H.L,8.78,25,0.1,NA,-1,[9],
diOH-ACN-P,logK_HL/H.L,6.08,25,0.1,NA,-2,[6],
diOH-ACN-P,logK_H2L/H.HL,1.35,25,0.1,NA,NA,[6],
dTDP,logK_ML/M.L,3.23,25,0.1,NA,NA,[9],
dTTP,logK_HL/H.L,6.5,25,0.1,NA,-4,[5],
dTTP,logK_H2L/H.HL,5.86,25,0.1,NA,NA,[5],pKa2 from ATP
dTTP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[5],From ATP
dTTP,logK_ML/M.L,4.1,25,0.1,NA,NA,[9],
EDTA,logK_HL/H.L,10.17,25,0.1,NA,-4,[6],
EDTA,logK_H2L/H.HL,6.11,25,0.1,NA,-4,[6],
EDTA,logK_H3L/H.H2L,2.68,25,0.1,NA,-4,[6],
EDTA,logK_ML/M.L,8.79,25,0.1,NA,-4,[6],
"Fructose 1,6-BP",logK_HL/H.L,6.66,25,0.1,NA,-4,[6],
"Fructose 1,6-BP",logK_H2L/H.HL,5.86,25,0.1,NA,NA,[6],
"Fructose 1,6-BP",logK_ML/M.L,2.37,25,0.1,NA,NA,[9],
Fructose 6-P,logK_HL/H.L,6.5,25,0,NA,-2,[6],Use Glucose 1-P
Fructose 6-P,logK_H2L/H.HL,1.46,25,0.1,NA,NA,[6],Use Glucose 1-P
Fructose 6-P,logK_ML/M.L,2.47,25,0,NA,NA,[6],Use Glucose 1-P
Fumarate,logK_HL/H.L,4.1,25,0.1,NA,-2,[6],
Fumarate,logK_H2L/H.HL,3.92,25,0.1,NA,NA,[6],
Fumarate,logK_ML/M.L,0.48,25,0.1,NA,NA,[6],Use Ca2+
GDP,logK_HL/H.L,6.3,25,0.1,NA,-3,[5],
GDP,logK_H2L/H.HL,2.9,25,0.1,NA,NA,[5],
GDP,logK_ML/M.L,3.4,30,0.1,NA,NA,[9],
Gluconic acid,logK_HL/H.L,3.65,25,0.1,NA,-1,[6],
Gluconic acid,logK_ML/M.L,0.7,25,0.1,NA,NA,[6],
Glucose 6-P,logK_HL/H.L,6.5,25,0.1,NA,-2,[6],Use Glucose 1-P
Glucose 6-P,logK_H2L/H.HL,1.46,25,0.1,NA,NA,[6],Use Glucose 1-P
Glucose 6-P,logK_ML/M.L,2.47,25,0.1,NA,NA,[6],Use Glucose 1-P
Glutathione,logK_HL/H.L,9.51,25,0.1,NA,-2,[9],
Glutathione,logK_H2L/H.HL,3.48,25,0.1,NA,NA,[7],
Glutathione,logK_H3L/H.H2L,2.08,25,0.1,NA,NA,[7],
Glutathione,logK_ML/M.L,3.8,37,0.15,NA,NA,[9],
glyceraldehyde-3-P,logK_HL/H.L,6.35,25,0.1,NA,-2,[6],
Glyceric acid,logK_HL/H.L,3.4,25,0.1,NA,-1,[9],
Glyceric acid,logK_ML/M.L,0.86,25,0.1,NA,NA,[9],
Glycerol 1-P,logK_HL/H.L,6.08,25,0.1,NA,-2,[6],
Glycerol 1-P,logK_H2L/H.HL,1.335,25,0,NA,NA,[6], Use pKa from glycerol 2-P
Glycerol 1-P,logK_ML/M.L,1.8,20,0.1,NA,NA,[6],
GMP,logK_HL/H.L,6.1,25,0.1,NA,-2,[5],
GMP,logK_H2L/H.HL,2.4,25,0.1,NA,NA,[5],
GMP,logK_ML/M.L,1.72,25,0.1,NA,NA,[9],
GTP,logK_HL/H.L,6.5,25,0.1,NA,-4,[5],
GTP,logK_H2L/H.HL,3.3,25,0.1,NA,NA,[5],
GTP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[5],From ATP
GTP,logK_ML/M.L,4.13,25,0.1,NA,NA,[9],
Homocysteine,logK_HL/H.L,10.3,25,0.1,NA,-1,[9],
Homocysteine,logK_ML/M.L,2.75,20,0.1,NA,NA,[9],Use Cysteine
IDP,logK_HL/H.L,6.69,25,0.1,NA,-3,[9],
IMP,logK_ML/M.L,1.68,25,0.1,NA,NA,[9],
Isocitrate,logK_HL/H.L,5.78,25,0.1,NA,-3,[9],
Isocitrate,logK_H2L/H.HL,4.28,25,0.1,NA,NA,[4],
Isocitrate,logK_H3L/H.H2L,3.02,25,0.1,NA,NA,[6],
Isocitrate,logK_ML/M.L,2.55,25,0.1,NA,NA,[9],
ITP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[5],From ATP
ITP,logK_ML/M.L,4.12,25,0.1,NA,NA,[9],
L-Alanine,logK_HL/H.L,9.69,25,0.1,NA,-1,[4],
L-Alanine,logK_H2L/H.HL,2.1,25,0.1,NA,NA,[5],
L-Alanine,logK_ML/M.L,1.96,25,0.1,NA,NA,[9],
L-Arginine,logK_HL/H.L,12.1,25,0.1,NA,-1,[9],
L-Arginine,logK_H2L/H.HL,9.01,25,0.1,NA,NA,[4],
L-Arginine,logK_H3L/H.H2L,2.05,25,0.1,NA,NA,[4],
L-Arginine,logK_MHL/M.HL,1.3,25,0.1,NA,NA,[9],
L-Asparagine,logK_HL/H.L,8.72,25,0.1,NA,-1,[4],
L-Asparagine,logK_H2L/H.HL,2.14,25,0.1,NA,NA,[4],
L-Asparagine,logK_ML/M.L,0.18,25,0.16,NA,NA,[10],Use Ca2+
L-Aspartic acid,logK_HL/H.L,9.63,25,0.1,NA,-2,[4],
L-Aspartic acid,logK_H2L/H.HL,3.7,25,0.1,NA,NA,[4],
L-Aspartic acid,logK_H3L/H.H2L,1.93,25,0.1,NA,NA,[4],
L-Aspartic acid,logK_ML/M.L,2.4,25,0.1,NA,NA,[9],
L-Aspartic acid,logK_MHL/M.HL,0.871,37,0.15,NA,NA,[11],
L-Glutamic acid,logK_HL/H.L,9.58,25,0.1,NA,-2,[9],
L-Glutamic acid,logK_H2L/H.HL,4.2,25,0.1,NA,NA,[4],
L-Glutamic acid,logK_H3L/H.H2L,2.18,25,0.1,NA,NA,[4],
L-Glutamic acid,logK_ML/M.L,1.9,25,0.1,NA,NA,[9],
L-Glutamic acid,logK_MHL/M.HL,1.501,37,0.15,NA,NA,[11],
L-Glutamine,logK_HL/H.L,9.01,25,0.1,NA,-1,[4],
L-Glutamine,logK_H2L/H.HL,2.17,25,0.1,NA,NA,[4],
L-Glutamine,logK_ML/M.L,0.18,25,0.16,NA,NA,[10],Use Ca2+
L-Histidine,logK_HL/H.L,9.1,25,0.5,NA,-1,[9],
L-Histidine,logK_H2L/H.HL,6.02,25,0.1,NA,NA,[4],
L-Histidine,logK_H3L/H.H2L,1.7,25,0.1,NA,NA,[4],
L-Histidine,logK_ML/M.L,4,25,0.1,NA,NA,[12],
L-Isoleucine,logK_HL/H.L,9.6,25,0.1,NA,-1,[9],
L-Isoleucine,logK_H2L/H.HL,2.25,25,0.1,NA,NA,[4],
L-Isoleucine,logK_ML/M.L,1.85,20,0.15,NA,NA,[13],
L-Leucine,logK_HL/H.L,9.68,25,0.1,NA,-1,[13],
L-Leucine,logK_H2L/H.HL,2.35,25,0.1,NA,NA,[4],
L-Leucine,logK_ML/M.L,1.89,20,0.15,NA,NA,[13],
L-Lysine,logK_HL/H.L,10.69,25,0.1,NA,-1,[4],
L-Lysine,logK_H2L/H.HL,9.08,25,0.1,NA,NA,[4],
L-Lysine,logK_H3L/H.H2L,2.04,25,0.1,NA,NA,[4],
L-Lysine,logK_ML/M.L,1.05,25,0.1,NA,NA,[9],Ca2+ value
L-Methionine,logK_HL/H.L,9.08,25,0.1,NA,-1,[9],
L-Methionine,logK_H2L/H.HL,2.2,25,0.1,NA,NA,[4],
L-Phenylalanine,logK_HL/H.L,9.89,25,0.1,NA,-1,[9],
L-Proline,logK_HL/H.L,10.38,25,0.1,NA,NA,[4],
L-Proline,logK_H2L/H.HL,1.9,25,0.1,NA,NA,[4],
L-Proline,logK_ML/M.L,1.68,37,0.15,NA,NA,[9],Use DL-Thiaproline
L-Serine,logK_HL/H.L,9.28,25,0.1,NA,-1,[4],
L-Serine,logK_H2L/H.HL,2.27,25,0.1,NA,NA,[4],
L-Serine,logK_ML/M.L,1.03,25,0.1,NA,NA,[9],
L-Threonine,logK_HL/H.L,8.96,25,0.1,NA,-1,NA,
L-Threonine,logK_H2L/H.HL,2.21,25,0.1,NA,NA,NA,
L-Threonine,logK_ML/M.L,1.45,25,0.15,NA,NA,[10],
L-Tryptophan,logK_HL/H.L,9.33,25,0.1,NA,-1,[9],
L-Tryptophan,logK_H2L/H.HL,2.35,25,0.1,NA,NA,[4],
L-Tyrosine,logK_HL/H.L,10.1,25,0.1,NA,-2,[9],
L-Tyrosine,logK_H2L/H.HL,9.04,25,0.1,NA,NA,[4],
L-Tyrosine,logK_H3L/H.H2L,2.17,25,0.1,NA,NA,[4],
L-Tyrosine,logK_ML/M.L,2,20,0,NA,NA,[12],
L-Valine,logK_HL/H.L,9.69,25,0.1,NA,-1,[4],
L-Valine,logK_H2L/H.HL,2.2,25,0.1,NA,NA,[13],
L-Valine,logK_ML/M.L,1.56,25,0.15,NA,NA,[13],
Lactic acid,logK_HL/H.L,3.66,25,0.1,NA,-1,[6],
Lactic acid,logK_ML/M.L,0.93,25,0.1,NA,NA,[6],
Ornithine,logK_HL/H.L,10.55,NA,NA,NA,NA,[4],
Ornithine,logK_H2L/H.HL,8.74,25,0.1,NA,NA,[4],
Ornithine,logK_H3L/H.H2L,2.11,25,0.1,NA,NA,[4],
Oxaloacetate,logK_HL/H.L,3.73,25,0.1,NA,-2,[9],
Oxaloacetate,logK_ML/M.L,1.02,25,0.1,NA,NA,[9],
Oxidized glutathione,logK_HL/H.L,9.81,25,0.1,NA,-4,[9],
P-enolpyruvate,logK_HL/H.L,6.14,25,0.1,NA,-3,[9],
P-enolpyruvate,logK_H2L/H.HL,3.4,25,0.1,NA,NA,[6],
P-enolpyruvate,logK_ML/M.L,2.26,25,0.1,NA,NA,[9],
Phenylpyruvic acid,logK_HL/H.L,2.33,25,0.1,NA,-1,[9],
Pyruvic acid,logK_HL/H.L,2.26,25,0.1,NA,-1,[9],
Pyruvic acid,logK_ML/M.L,1.1,25,0.1,NA,NA,[9],
Quinolinate,logK_HL/H.L,4.77,25,0.1,NA,-1,[9],
Quinolinate,logK_H2L/H.HL,2.75,25,0.1,NA,NA,[6],
Quinolinate,logK_ML/M.L,1.37,25,0,NA,NA,[9],
Rib-5-P,logK_HL/H.L,6.5,25,0.1,NA,-2,[6],
Rib-5-P,logK_ML/M.L,1.58,25,0.1,NA,NA,[9],
Shikimate,logK_HL/H.L,3.68,25,0.1,NA,-1,[6],
Succinic acid,logK_HL/H.L,5.24,25,0.1,NA,-2,[6],
Succinic acid,logK_H2L/H.HL,4,25,0.1,NA,NA,[6],
Succinic acid,logK_ML/M.L,1.24,25,0.1,NA,NA,[9],
UDP,logK_HL/H.L,6.5,25,0.1,NA,-3,[5],
UDP,logK_H2L/H.HL,4.6,25,0.1,NA,NA,[5],pKa2 from CTP
UDP,logK_ML/M.L,3.19,25,0.1,NA,NA,[9],
UTP,logK_HL/H.L,6.6,25,0.1,NA,-4,[5],
UTP,logK_H2L/H.HL,5.86,25,0.1,NA,NA,[5],pKa2 from ATP
UTP,logK_H3L/H.H2L,1.9,25,0.1,NA,NA,[5],From ATP
UTP,logK_ML/M.L,4.08,25,0.1,NA,NA,[9],
